title,rank,date,artist,url,region,chart,trend,streams
Wellerman,1,2021-01-21,The Longest Johns,https://open.spotify.com/track/3oUuRNgyIuiqVTWLCChp3s,United States,viral50,SAME_POSITION,
Stay Close,1,2017-03-12,Anth M,https://open.spotify.com/track/7DB7ogt7sv8I1gDpF5gNtj,United States,viral50,MOVE_UP,
Waterfall,1,2017-03-13,"Stargate, P!nk, Sia",https://open.spotify.com/track/7pYFPMeK0TnaTGdS6qOtEr,United States,viral50,NEW_ENTRY,
Loverboy,1,2021-09-01,A-Wall,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP,United States,viral50,SAME_POSITION,
love nwantiti (ah ah ah),1,2021-10-01,CKay,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g,United States,viral50,SAME_POSITION,
Loverboy,1,2021-09-02,A-Wall,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP,United States,viral50,SAME_POSITION,
love nwantiti (ah ah ah),1,2021-10-02,CKay,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g,United States,viral50,SAME_POSITION,
Loverboy,1,2021-09-03,A-Wall,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP,United States,viral50,SAME_POSITION,
love nwantiti (ah ah ah),1,2021-10-03,CKay,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g,United States,viral50,SAME_POSITION,
Loverboy,1,2021-09-04,A-Wall,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP,United States,viral50,SAME_POSITION,
The Red Means I Love You,1,2021-10-04,Madds Buckley,https://open.spotify.com/track/5pLbM4PU1wZyMvoQyEAorp,United States,viral50,MOVE_UP,
The Red Means I Love You,1,2021-10-05,Madds Buckley,https://open.spotify.com/track/5pLbM4PU1wZyMvoQyEAorp,United States,viral50,SAME_POSITION,
Loverboy,1,2021-09-05,A-Wall,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP,United States,viral50,SAME_POSITION,
INDUSTRY BABY (feat. Jack Harlow),1,2021-10-30,Lil Nas X,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,United States,top200,MOVE_UP,1334292.0
The Red Means I Love You,1,2021-10-06,Madds Buckley,https://open.spotify.com/track/5pLbM4PU1wZyMvoQyEAorp,United States,viral50,SAME_POSITION,
Paralyzed,1,2021-09-06,Sueco,https://open.spotify.com/track/5svL1PkWw8hPEAOdTNLexy,United States,viral50,NEW_ENTRY,
The Red Means I Love You,1,2021-10-07,Madds Buckley,https://open.spotify.com/track/5pLbM4PU1wZyMvoQyEAorp,United States,viral50,SAME_POSITION,
Paralyzed,1,2021-09-07,Sueco,https://open.spotify.com/track/5svL1PkWw8hPEAOdTNLexy,United States,viral50,SAME_POSITION,
The Red Means I Love You,1,2021-10-08,Madds Buckley,https://open.spotify.com/track/5pLbM4PU1wZyMvoQyEAorp,United States,viral50,SAME_POSITION,
Paralyzed,1,2021-09-08,Sueco,https://open.spotify.com/track/5svL1PkWw8hPEAOdTNLexy,United States,viral50,SAME_POSITION,
The Red Means I Love You,1,2021-10-09,Madds Buckley,https://open.spotify.com/track/5pLbM4PU1wZyMvoQyEAorp,United States,viral50,SAME_POSITION,
The Red Means I Love You,1,2021-10-10,Madds Buckley,https://open.spotify.com/track/5pLbM4PU1wZyMvoQyEAorp,United States,viral50,SAME_POSITION,
Monster Mash,1,2021-10-31,"Bobby ""Boris"" Pickett, The Crypt-Kickers",https://open.spotify.com/track/0xxZY5C9xxij3D1HkzbnfC,United States,top200,MOVE_UP,1244523.0
Meet Me At Our Spot,1,2021-09-09,"THE ANXIETY, WILLOW, Tyler Cole",https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG,United States,viral50,MOVE_UP,
Está Dañada,1,2021-10-11,Ivan Cornejo,https://open.spotify.com/track/6G2xXQRSZlEzYsUEb3uvuR,United States,viral50,MOVE_UP,
Waterfall,1,2017-03-14,"Stargate, P!nk, Sia",https://open.spotify.com/track/7pYFPMeK0TnaTGdS6qOtEr,United States,viral50,SAME_POSITION,
Meet Me At Our Spot,1,2021-09-10,"THE ANXIETY, WILLOW, Tyler Cole",https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG,United States,viral50,SAME_POSITION,
